"h1","h2","h3","share%","color","codes","rawtime","totalTime","numReduceThreads"
"Total","Image scan1","ImgScan1","0.38389","lightsteelblue","Scan1","143430","3.73623e+07","8"
"Total","Image scan2a","ImgScan2a","72.2546","lightsteelblue","Scan2a","2.6996e+07","3.73623e+07","8"
"Total","Image scan2b","ImgScan2b","9.58846","lightsteelblue","Scan2b","3.58247e+06","3.73623e+07","8"
"Total","Image scan3","ImgScan3","0.0821728","lightsteelblue","Scan3","30701.7","3.73623e+07","8"
"Total","Texture","GLCM","17.6908","#bbbbbb","GLCM","6.60972e+06","3.73623e+07","8"
"Total","All","All","100","#000000","TOTL","3.73623e+07","3.73623e+07","8"
